Front,Back,Tags
"What was the practical effect on Anthropic's business in the immediate aftermath of the Challenged Actions, as documented in the PI record?","Within days: GSA removed Anthropic from USAi.gov; Treasury and FHFA announced termination of Claude use; State and HHS issued internal statements following the Presidential Directive; Lawrence Livermore National Laboratory shut down Claude; three deals worth over $180M fell apart on the verge of closing; multiple government-contractor customers terminated or pivoted to competitors; Anthropic CFO projected potential losses of hundreds of millions to multiple billions of dollars in 2026 revenue.",stable anthropic-dow facts
"Which two pre-existing D.D.C. cases provide the closest factual analog cited in the legal commentary?","Luokung Technology Corp. v. Department of Defense, No. 1:21-cv-00583 (D.D.C. 2021), and Xiaomi Corp. v. Department of Defense, No. 1:21-cv-00280 (D.D.C. 2021). Both involved Defense Department 'Communist Chinese military company' designations vacated or preliminarily enjoined as arbitrary and capricious where DoD had failed to provide a basis or opportunity to be heard.",stable doctrine analog-cases
"Why was the Hegseth Directive's contractor-blacklist language ultimately held ultra vires?","At the March 24 oral argument, government counsel admitted he was unaware of any statute authorizing Secretary Hegseth to issue the prohibition on contractors doing commercial business with Anthropic, and agreed the statement had 'absolutely no legal effect at all.' That concession appears at Dkt. No. 128 at 8-9, 13-14.",stable anthropic-dow ruling
"What did the Pentagon CTO say about Judge Lin's PI order after it issued?","Under Secretary of Defense and Chief Technology Officer Emil Michael posted on X that Lin's order contained 'dozens of factual errors' and that 'the Supply Chain Risk designation … is in full force and effect.' (Note: this is the same Emil Michael who authored the contested risk-assessment memo.)",volatile anthropic-dow reaction
"What was the lead law firm representing Anthropic, and who are lead trial-court and appellate counsel?","Wilmer Cutler Pickering Hale and Dorr LLP. Lead trial counsel: Michael J. Mongan (S.F.). Lead D.C. Circuit counsel: Kelly P. Dunbar (D.C.). Other Wilmer attorneys of record include Joshua A. Geltzer, Susan Hennessey, Lauren Moxley Beatty, Sonika R. Data, Emily Barnet, Kevin M. Lamb, and Laura E. Powell.",stable anthropic-dow people
"Who argued for the government in the D.C. Circuit?","Sharon Swingle of the DOJ Civil Appellate staff argued for Respondents Hegseth and the Department of War. Briefing handled by Sean R. Janda and Brian J. Springer with co-counsel.",stable anthropic-dow people
"What is the major-questions-doctrine connection the Lawfare commentary draws?","Earlier in 2026, the Supreme Court held (per a Roberts plurality) that IEEPA's grant of authority to 'regulate...importation' did not authorize the President to impose emergency tariffs. The Court found no national-security exception to the major questions doctrine and treated 'lack of historical precedent' as a 'telling indication' that the claimed authority exceeded the statute's reach. Lawfare argues the same logic applies to § 3252: the statute targets 'adversary' sabotage of the IT supply chain, not domestic AI vendors disagreeing about contractual restrictions; there is no historical precedent for this use of the authority.",volatile commentary doctrine
"What did OpenAI's parallel deal with the Pentagon, announced the day after Anthropic's designation, reveal that strengthens Anthropic's pretext argument?","OpenAI announced a classified deployment contract with the Pentagon that included three substantive red lines closely tracking Anthropic's: no mass domestic surveillance, no autonomous weapons, and no high-stakes automated decisions. If those guardrails are genuinely comparable, the government is punishing Anthropic for the same kind of restrictions it tolerates in a competitor — a classic disparate-treatment pretext signal. (There is debate among commentators about whether OpenAI's restrictions are in fact as strong as Anthropic's.)",volatile commentary pretext
"What earlier statutory authority did Hegseth threaten to use against Anthropic before pivoting to § 3252?","The Defense Production Act (DPA). At the February 24 meeting, Hegseth told Anthropic representatives that DoW might invoke the DPA to designate Anthropic as essential to national security and compel it to provide services without the Usage Policy restrictions. Within three days, the government had pivoted to the opposite framing — that Anthropic was a supply-chain risk that the entire federal government must stop using.",stable anthropic-dow facts
"How does the existence of the parallel DPA threat help Anthropic's APA arbitrary-and-capricious case?","The two positions are logically incompatible: invoking the DPA Title I requires a determination that the technology is essential to national defense; designating a supply-chain risk requires a determination that the technology is dangerous. The government cannot credibly hold both positions about the same vendor in the same week. The whiplash is direct evidence that the supply-chain framing is pretextual.",stable anthropic-dow ruling
"What is the only other publicly known supply-chain-risk designation under FASCSA, and why does it matter for the Anthropic case?","In September 2025, the Office of the Director of National Intelligence issued the first FASCSA order against Acronis AG, a Swiss cybersecurity firm with alleged Russian ties, limited to intelligence community contracts. It is the only public use of either § 3252 or FASCSA. No domestic company has previously been designated. The lack of historical precedent reinforces the major-questions argument and the conclusion that the authority was designed for foreign threats, not domestic contract disputes.",stable doctrine background
"What was the bond amount the Court required, and why was it set so low?","$100. The Court found the government had not made any showing of cost or damages from the injunction — the PI does not require the government to purchase Anthropic's products. Bond amount is discretionary under Fed. R. Civ. P. 65(c). Cited Johnson v. Couturier, 572 F.3d 1067 (9th Cir. 2009).",stable anthropic-dow ruling
"Why did Judge Lin decline to enjoin the Executive Office of the President even though she enjoined the rest of the Defendant Agencies?","Because there was no record evidence that EOP had taken any specific action to carry out the Presidential Directive. EOP remains bound by the standard FRCP 65(d) language barring action 'in concert or participation with' the enjoined defendants.",stable anthropic-dow ruling
"What 'follow-on' open issues will likely be argued on summary judgment in N.D. Cal. that were not fully resolved by the PI?","(1) Whether the Court of Federal Claims (Tucker Act) has exclusive jurisdiction over any portion of Anthropic's challenge; (2) the ultra vires challenge to the Presidential Directive (not reached at PI); (3) the alternative First Amendment theory of content/viewpoint discrimination (not reached); (4) final scope of declaratory relief; (5) whether a permanent injunction (including against EOP) is warranted on a fuller record.",stable anthropic-dow open-issues
"Which prominent legal scholars have written commentary on this case, and what are their core takeaways?","Alan Z. Rozenshtein (U. Minnesota / Lawfare) — designation 'won't survive first contact with the legal system'; multiple independent paths to relief. Harold Hongju Koh (Yale, former State Dep't Legal Adviser) — Bill of Attainder theory; pattern of pretextual retaliation by the second Trump administration. Mark Jia — drew the Luokung/Xiaomi analogies. Dean Ball, Saif Khan, Charlie Bullock — analytical commentary on supply-chain risk doctrine. The Cato Institute and a coalition including FIRE/EFF have filed amicus briefs.",volatile commentary scholars
"Where in the docket can the Michael Memo be found, and why is its authorship significant?","Filed as part of Defendants' opposition (Dkt. 96-2 at 6-9). Authored by Under Secretary Emil Michael — who had led the contract negotiations with Anthropic. Significance: 48 C.F.R. § 239.7304(a) requires the risk assessment to come from the Under Secretary of Defense for Intelligence, not the negotiator; Michael's authorship is itself a procedural defect, and his expressly retaliatory framing of Anthropic's 'increasingly hostile manner through the press' is direct evidence of retaliation.",stable anthropic-dow ruling
"What's the practical effect right now (May 2026) of the divided rulings across the two courts?","The N.D. Cal. PI is in force — meaning the Presidential Directive, the Hegseth Directive's secondary boycott, and the § 3252 designation cannot currently be enforced. But the D.C. Circuit declined to stay the separate FASCSA letter pending its merits decision, meaning that strand of the designation may have some continued procurement effect (subject to ongoing dispute). Anthropic's overall federal-contracting eligibility is partially restored. Final clarity awaits the D.C. Circuit decision.",volatile anthropic-dow status
"What's the one thing to watch for that would most change the trajectory of the case in the next 60 days?","The D.C. Circuit's decision in No. 26-1049, expected sometime after supplemental briefs are filed June 4, 2026. A ruling for Anthropic on the merits would essentially confirm Judge Lin's holding and likely trigger a 9th Circuit affirmance of the PI. A ruling for the government on jurisdiction would push the dispute back into N.D. Cal. exclusively. A ruling for the government on the merits in the D.C. Cir. would create a circuit-level conflict with the N.D. Cal. PI rationale.",volatile anthropic-dow watch
